course_id,date,day_of_week,registered_strength,attended_count,is_exam_week,weather_flag
CSE100,2026-01-01,3,70,43,0,rain
CSE100,2026-01-02,4,70,44,0,clear
CSE100,2026-01-03,5,70,49,0,rain
CSE100,2026-01-04,6,70,57,0,rain
CSE100,2026-01-05,0,70,56,0,clear
CSE100,2026-01-06,1,70,58,0,clear
CSE100,2026-01-07,2,70,54,0,clear
CSE100,2026-01-08,3,70,54,0,rain
CSE100,2026-01-09,4,70,47,0,clear
CSE100,2026-01-10,5,70,53,0,clear
CSE100,2026-01-11,6,70,52,0,rain
CSE100,2026-01-12,0,70,24,0,extreme
CSE100,2026-01-13,1,70,53,0,rain
CSE100,2026-01-14,2,70,35,0,clear
CSE100,2026-01-15,3,70,48,0,rain
CSE100,2026-01-16,4,70,46,0,clear
CSE100,2026-01-17,5,70,42,0,clear
CSE100,2026-01-18,6,70,57,0,clear
CSE100,2026-01-19,0,70,36,0,clear
CSE100,2026-01-20,1,70,41,0,clear
CSE100,2026-01-21,2,70,36,0,clear
CSE100,2026-01-22,3,70,48,0,clear
CSE100,2026-01-23,4,70,50,0,rain
CSE100,2026-01-24,5,70,25,0,clear
CSE100,2026-01-25,6,70,40,0,rain
CSE100,2026-01-26,0,70,50,0,clear
CSE100,2026-01-27,1,70,37,0,extreme
CSE100,2026-01-28,2,70,58,0,clear
CSE100,2026-01-29,3,70,63,0,clear
CSE100,2026-01-30,4,70,59,0,clear
ECE101,2026-01-01,3,90,66,0,rain
ECE101,2026-01-02,4,90,47,0,clear
ECE101,2026-01-03,5,90,57,0,rain
ECE101,2026-01-04,6,90,76,0,clear
ECE101,2026-01-05,0,90,70,0,clear
ECE101,2026-01-06,1,90,77,0,rain
ECE101,2026-01-07,2,90,64,0,clear
ECE101,2026-01-08,3,90,57,0,extreme
ECE101,2026-01-09,4,90,73,0,rain
ECE101,2026-01-10,5,90,69,0,clear
ECE101,2026-01-11,6,90,78,0,clear
ECE101,2026-01-12,0,90,25,0,clear
ECE101,2026-01-13,1,90,76,0,clear
ECE101,2026-01-14,2,90,51,0,extreme
ECE101,2026-01-15,3,90,68,0,clear
ECE101,2026-01-16,4,90,64,0,rain
ECE101,2026-01-17,5,90,37,0,rain
ECE101,2026-01-18,6,90,77,0,clear
ECE101,2026-01-19,0,90,57,0,clear
ECE101,2026-01-20,1,90,45,0,extreme
ECE101,2026-01-21,2,90,45,0,clear
ECE101,2026-01-22,3,90,69,0,clear
ECE101,2026-01-23,4,90,66,0,clear
ECE101,2026-01-24,5,90,39,0,clear
ECE101,2026-01-25,6,90,54,0,clear
ECE101,2026-01-26,0,90,70,0,rain
ECE101,2026-01-27,1,90,68,0,clear
ECE101,2026-01-28,2,90,84,0,clear
ECE101,2026-01-29,3,90,39,0,extreme
ECE101,2026-01-30,4,90,53,0,extreme
ME102,2026-01-01,3,103,99,0,clear
ME102,2026-01-02,4,103,69,0,rain
ME102,2026-01-03,5,103,83,0,clear
ME102,2026-01-04,6,103,72,0,clear
ME102,2026-01-05,0,103,59,0,clear
ME102,2026-01-06,1,103,90,0,clear
ME102,2026-01-07,2,103,62,0,clear
ME102,2026-01-08,3,103,99,0,clear
ME102,2026-01-09,4,103,92,0,rain
ME102,2026-01-10,5,103,58,0,clear
ME102,2026-01-11,6,103,55,0,clear
ME102,2026-01-12,0,103,71,0,clear
ME102,2026-01-13,1,103,61,0,clear
ME102,2026-01-14,2,103,60,0,rain
ME102,2026-01-15,3,103,69,0,rain
ME102,2026-01-16,4,103,43,0,extreme
ME102,2026-01-17,5,103,90,0,clear
ME102,2026-01-18,6,103,53,0,rain
ME102,2026-01-19,0,103,70,0,rain
ME102,2026-01-20,1,103,85,0,rain
ME102,2026-01-21,2,103,72,0,clear
ME102,2026-01-22,3,103,42,0,extreme
ME102,2026-01-23,4,103,54,0,extreme
ME102,2026-01-24,5,103,60,0,clear
ME102,2026-01-25,6,103,83,0,rain
ME102,2026-01-26,0,103,67,0,clear
ME102,2026-01-27,1,103,70,0,clear
ME102,2026-01-28,2,103,65,0,rain
ME102,2026-01-29,3,103,75,0,rain
ME102,2026-01-30,4,103,62,0,extreme
CE103,2026-01-01,3,34,24,0,rain
CE103,2026-01-02,4,34,30,0,clear
CE103,2026-01-03,5,34,15,0,rain
CE103,2026-01-04,6,34,30,0,clear
CE103,2026-01-05,0,34,23,0,rain
CE103,2026-01-06,1,34,22,0,clear
CE103,2026-01-07,2,34,22,0,clear
CE103,2026-01-08,3,34,26,0,clear
CE103,2026-01-09,4,34,19,0,clear
CE103,2026-01-10,5,34,31,0,clear
CE103,2026-01-11,6,34,22,0,clear
CE103,2026-01-12,0,34,21,0,rain
CE103,2026-01-13,1,34,17,0,rain
CE103,2026-01-14,2,34,20,0,extreme
CE103,2026-01-15,3,34,19,0,clear
CE103,2026-01-16,4,34,26,0,clear
CE103,2026-01-17,5,34,25,0,clear
CE103,2026-01-18,6,34,19,0,rain
CE103,2026-01-19,0,34,29,0,rain
CE103,2026-01-20,1,34,29,0,rain
CE103,2026-01-21,2,34,26,0,rain
CE103,2026-01-22,3,34,28,0,rain
CE103,2026-01-23,4,34,31,0,clear
CE103,2026-01-24,5,34,29,0,rain
CE103,2026-01-25,6,34,23,0,rain
CE103,2026-01-26,0,34,23,0,rain
CE103,2026-01-27,1,34,18,0,rain
CE103,2026-01-28,2,34,23,0,clear
CE103,2026-01-29,3,34,32,0,rain
CE103,2026-01-30,4,34,24,0,rain
EE104,2026-01-01,3,57,30,0,rain
EE104,2026-01-02,4,57,49,0,rain
EE104,2026-01-03,5,57,34,0,clear
EE104,2026-01-04,6,57,43,0,clear
EE104,2026-01-05,0,57,43,0,clear
EE104,2026-01-06,1,57,36,0,rain
EE104,2026-01-07,2,57,55,0,clear
EE104,2026-01-08,3,57,30,0,rain
EE104,2026-01-09,4,57,39,0,rain
EE104,2026-01-10,5,57,46,0,clear
EE104,2026-01-11,6,57,24,0,extreme
EE104,2026-01-12,0,57,40,0,rain
EE104,2026-01-13,1,57,39,0,extreme
EE104,2026-01-14,2,57,41,0,clear
EE104,2026-01-15,3,57,49,0,clear
EE104,2026-01-16,4,57,38,0,clear
EE104,2026-01-17,5,57,50,0,clear
EE104,2026-01-18,6,57,26,0,rain
EE104,2026-01-19,0,57,33,0,clear
EE104,2026-01-20,1,57,34,0,clear
EE104,2026-01-21,2,57,36,0,clear
EE104,2026-01-22,3,57,18,0,clear
EE104,2026-01-23,4,57,28,0,rain
EE104,2026-01-24,5,57,38,0,rain
EE104,2026-01-25,6,57,51,0,rain
EE104,2026-01-26,0,57,38,0,rain
EE104,2026-01-27,1,57,41,0,clear
EE104,2026-01-28,2,57,38,0,rain
EE104,2026-01-29,3,57,48,0,clear
EE104,2026-01-30,4,57,34,0,clear
MCA105,2026-01-01,3,62,43,0,clear
MCA105,2026-01-02,4,62,52,0,rain
MCA105,2026-01-03,5,62,24,0,rain
MCA105,2026-01-04,6,62,52,0,rain
MCA105,2026-01-05,0,62,50,0,rain
MCA105,2026-01-06,1,62,49,0,clear
MCA105,2026-01-07,2,62,44,0,clear
MCA105,2026-01-08,3,62,25,0,clear
MCA105,2026-01-09,4,62,40,0,extreme
MCA105,2026-01-10,5,62,31,0,clear
MCA105,2026-01-11,6,62,32,0,extreme
MCA105,2026-01-12,0,62,42,0,rain
MCA105,2026-01-13,1,62,22,0,rain
MCA105,2026-01-14,2,62,51,0,clear
MCA105,2026-01-15,3,62,43,0,clear
MCA105,2026-01-16,4,62,55,0,clear
MCA105,2026-01-17,5,62,51,0,rain
MCA105,2026-01-18,6,62,51,0,clear
MCA105,2026-01-19,0,62,32,0,rain
MCA105,2026-01-20,1,62,36,0,rain
MCA105,2026-01-21,2,62,20,0,extreme
MCA105,2026-01-22,3,62,39,0,clear
MCA105,2026-01-23,4,62,48,0,clear
MCA105,2026-01-24,5,62,33,0,clear
MCA105,2026-01-25,6,62,42,0,clear
MCA105,2026-01-26,0,62,34,0,clear
MCA105,2026-01-27,1,62,38,0,clear
MCA105,2026-01-28,2,62,40,0,clear
MCA105,2026-01-29,3,62,44,0,rain
MCA105,2026-01-30,4,62,41,0,clear
PhD106,2026-01-01,3,108,69,0,extreme
PhD106,2026-01-02,4,108,73,0,clear
PhD106,2026-01-03,5,108,75,0,clear
PhD106,2026-01-04,6,108,23,0,rain
PhD106,2026-01-05,0,108,77,0,clear
PhD106,2026-01-06,1,108,78,0,rain
PhD106,2026-01-07,2,108,80,0,rain
PhD106,2026-01-08,3,108,78,0,clear
PhD106,2026-01-09,4,108,38,0,extreme
PhD106,2026-01-10,5,108,97,0,clear
PhD106,2026-01-11,6,108,95,0,rain
PhD106,2026-01-12,0,108,87,0,rain
PhD106,2026-01-13,1,108,67,0,extreme
PhD106,2026-01-14,2,108,67,0,rain
PhD106,2026-01-15,3,108,73,0,clear
PhD106,2026-01-16,4,108,68,0,rain
PhD106,2026-01-17,5,108,87,0,clear
PhD106,2026-01-18,6,108,65,0,clear
PhD106,2026-01-19,0,108,76,0,extreme
PhD106,2026-01-20,1,108,82,0,rain
PhD106,2026-01-21,2,108,58,0,clear
PhD106,2026-01-22,3,108,52,0,extreme
PhD106,2026-01-23,4,108,77,0,rain
PhD106,2026-01-24,5,108,83,0,rain
PhD106,2026-01-25,6,108,60,0,clear
PhD106,2026-01-26,0,108,62,0,clear
PhD106,2026-01-27,1,108,86,0,rain
PhD106,2026-01-28,2,108,90,0,rain
PhD106,2026-01-29,3,108,36,0,extreme
PhD106,2026-01-30,4,108,66,0,extreme
CSE107,2026-01-01,3,44,38,0,clear
CSE107,2026-01-02,4,44,30,0,clear
CSE107,2026-01-03,5,44,29,0,rain
CSE107,2026-01-04,6,44,28,0,rain
CSE107,2026-01-05,0,44,29,0,clear
CSE107,2026-01-06,1,44,28,0,rain
CSE107,2026-01-07,2,44,30,0,clear
CSE107,2026-01-08,3,44,30,0,clear
CSE107,2026-01-09,4,44,32,0,clear
CSE107,2026-01-10,5,44,35,0,clear
CSE107,2026-01-11,6,44,29,0,rain
CSE107,2026-01-12,0,44,21,0,rain
CSE107,2026-01-13,1,44,25,0,clear
CSE107,2026-01-14,2,44,33,0,clear
CSE107,2026-01-15,3,44,28,0,clear
CSE107,2026-01-16,4,44,21,0,extreme
CSE107,2026-01-17,5,44,30,0,clear
CSE107,2026-01-18,6,44,36,0,rain
CSE107,2026-01-19,0,44,37,0,clear
CSE107,2026-01-20,1,44,38,0,clear
CSE107,2026-01-21,2,44,39,0,rain
CSE107,2026-01-22,3,44,25,0,rain
CSE107,2026-01-23,4,44,18,0,extreme
CSE107,2026-01-24,5,44,40,0,rain
CSE107,2026-01-25,6,44,34,0,clear
CSE107,2026-01-26,0,44,33,0,clear
CSE107,2026-01-27,1,44,36,0,rain
CSE107,2026-01-28,2,44,26,0,rain
CSE107,2026-01-29,3,44,31,0,clear
CSE107,2026-01-30,4,44,26,0,extreme
ECE108,2026-01-01,3,88,71,0,clear
ECE108,2026-01-02,4,88,53,0,clear
ECE108,2026-01-03,5,88,58,0,clear
ECE108,2026-01-04,6,88,38,0,extreme
ECE108,2026-01-05,0,88,71,0,clear
ECE108,2026-01-06,1,88,63,0,clear
ECE108,2026-01-07,2,88,60,0,clear
ECE108,2026-01-08,3,88,38,0,extreme
ECE108,2026-01-09,4,88,65,0,clear
ECE108,2026-01-10,5,88,52,0,rain
ECE108,2026-01-11,6,88,65,0,clear
ECE108,2026-01-12,0,88,72,0,rain
ECE108,2026-01-13,1,88,32,0,rain
ECE108,2026-01-14,2,88,52,0,rain
ECE108,2026-01-15,3,88,69,0,clear
ECE108,2026-01-16,4,88,72,0,rain
ECE108,2026-01-17,5,88,50,0,rain
ECE108,2026-01-18,6,88,52,0,clear
ECE108,2026-01-19,0,88,60,0,rain
ECE108,2026-01-20,1,88,39,0,clear
ECE108,2026-01-21,2,88,64,0,clear
ECE108,2026-01-22,3,88,69,0,clear
ECE108,2026-01-23,4,88,75,0,clear
ECE108,2026-01-24,5,88,58,0,clear
ECE108,2026-01-25,6,88,32,0,extreme
ECE108,2026-01-26,0,88,64,0,clear
ECE108,2026-01-27,1,88,60,0,clear
ECE108,2026-01-28,2,88,38,0,clear
ECE108,2026-01-29,3,88,80,0,rain
ECE108,2026-01-30,4,88,63,0,rain
ME109,2026-01-01,3,61,24,0,rain
ME109,2026-01-02,4,61,46,0,clear
ME109,2026-01-03,5,61,34,0,extreme
ME109,2026-01-04,6,61,31,0,extreme
ME109,2026-01-05,0,61,45,0,clear
ME109,2026-01-06,1,61,44,0,clear
ME109,2026-01-07,2,61,44,0,rain
ME109,2026-01-08,3,61,46,0,clear
ME109,2026-01-09,4,61,31,0,rain
ME109,2026-01-10,5,61,42,0,rain
ME109,2026-01-11,6,61,38,0,extreme
ME109,2026-01-12,0,61,50,0,clear
ME109,2026-01-13,1,61,34,0,clear
ME109,2026-01-14,2,61,53,0,clear
ME109,2026-01-15,3,61,48,0,clear
ME109,2026-01-16,4,61,41,0,rain
ME109,2026-01-17,5,61,35,0,rain
ME109,2026-01-18,6,61,48,0,clear
ME109,2026-01-19,0,61,49,0,clear
ME109,2026-01-20,1,61,28,0,extreme
ME109,2026-01-21,2,61,50,0,rain
ME109,2026-01-22,3,61,49,0,clear
ME109,2026-01-23,4,61,47,0,clear
ME109,2026-01-24,5,61,50,0,rain
ME109,2026-01-25,6,61,41,0,clear
ME109,2026-01-26,0,61,50,0,rain
ME109,2026-01-27,1,61,28,0,clear
ME109,2026-01-28,2,61,51,0,clear
ME109,2026-01-29,3,61,34,0,rain
ME109,2026-01-30,4,61,24,0,clear
CE110,2026-01-01,3,94,70,0,clear
CE110,2026-01-02,4,94,62,0,rain
CE110,2026-01-03,5,94,69,0,clear
CE110,2026-01-04,6,94,85,0,clear
CE110,2026-01-05,0,94,53,0,extreme
CE110,2026-01-06,1,94,76,0,clear
CE110,2026-01-07,2,94,65,0,rain
CE110,2026-01-08,3,94,71,0,clear
CE110,2026-01-09,4,94,80,0,rain
CE110,2026-01-10,5,94,30,0,clear
CE110,2026-01-11,6,94,81,0,rain
